Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Lauri Markkanen,26.4,UTA,Forward,1817,33.0,77,57.8%,40,28%,65,22%,46,4%,56,27%,23,9%,79,37%,63,45%
Naji Marshall,25.8,NOP,Wing,1156,17.5,68,55.9%,54,29%,87,26%,39,4%,75,30%,80,25%,15,17%,38,41%
Caleb Martin,28.1,MIA,Wing,1743,27.2,31,50.8%,61,31%,69,20%,80,10%,75,30%,48,16%,29,23%,30,38%
Cody Martin,28.1,CHA,Wing,751,26.8,7,44.4%,58,30%,55,17%,91,15%,80,32%,42,14%,35,24%,28,38%
Kenyon Martin Jr.,22.8,PHI,Forward,610,13.6,63,55.4%,100,70%,31,14%,23,2%,29,17%,19,7%,0,6%,2,13%
Garrison Mathews,27.0,ATL,Wing,931,14.1,96,64.7%,2,6%,7,7%,19,2%,7,9%,90,29%,95,56%,98,85%
Bennedict Mathurin,21.4,IND,Wing,1512,25.6,31,50.7%,83,40%,81,24%,67,8%,78,32%,5,4%,37,24%,11,28%
Wesley Matthews,37.0,ATL,Wing,395,11.0,10,47.3%,23,19%,23,11%,30,3%,19,14%,93,30%,69,36%,84,67%
Tyrese Maxey,23.0,PHI,Point,2615,37.4,47,52.9%,65,31%,56,24%,42,8%,51,33%,21,3%,51,34%,42,37%
Skylar Mays,26.2,POR,Combo,331,18.4,9,43.3%,43,22%,86,32%,56,10%,84,42%,13,5%,48,32%,33,36%
Miles McBride,23.1,NYK,Combo,1244,20.7,80,56.4%,41,21%,16,13%,50,9%,16,22%,93,25%,50,32%,83,57%
CJ McCollum,32.1,NOP,Combo,2156,32.7,81,57.4%,22,15%,67,25%,55,10%,65,35%,22,6%,85,44%,67,50%
